CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0022000006459512WH;23/07/2016;14;0,035;R;
ES0022000006459512WH;23/07/2016;15;0,074;R;
ES0022000006459512WH;23/07/2016;16;0,105;R;
ES0022000006459512WH;23/07/2016;17;0,103;R;
ES0022000006459512WH;23/07/2016;18;0,043;R;
ES0022000006459512WH;23/07/2016;19;0,035;R;
ES0022000006459512WH;23/07/2016;20;0,102;R;
ES0022000006459512WH;23/07/2016;21;0,103;R;
ES0022000006459512WH;23/07/2016;22;0,075;R;
ES0022000006459512WH;23/07/2016;23;0,034;R;
ES0022000006459512WH;23/07/2016;24;0,064;R;
ES0022000006459512WH;24/07/2016;1;0,108;R;
ES0022000006459512WH;24/07/2016;2;0,101;R;
ES0022000006459512WH;24/07/2016;3;0,035;R;
ES0022000006459512WH;24/07/2016;4;0,025;R;
ES0022000006459512WH;24/07/2016;5;0,096;R;
ES0022000006459512WH;24/07/2016;6;0,093;R;
ES0022000006459512WH;24/07/2016;7;0,037;R;
ES0022000006459512WH;24/07/2016;8;0,025;R;
ES0022000006459512WH;24/07/2016;9;0,085;R;
ES0022000006459512WH;24/07/2016;10;0,094;R;
ES0022000006459512WH;24/07/2016;11;0,069;R;
ES0022000006459512WH;24/07/2016;12;0,033;R;
ES0022000006459512WH;24/07/2016;13;0,064;R;
ES0022000006459512WH;24/07/2016;14;0,104;R;
ES0022000006459512WH;24/07/2016;15;0,1;R;
ES0022000006459512WH;24/07/2016;16;0,05;R;
ES0022000006459512WH;24/07/2016;17;0,033;R;
ES0022000006459512WH;24/07/2016;18;0,09;R;
ES0022000006459512WH;24/07/2016;19;0,103;R;
ES0022000006459512WH;24/07/2016;20;0,091;R;
ES0022000006459512WH;24/07/2016;21;0,033;R;
ES0022000006459512WH;24/07/2016;22;0,043;R;
ES0022000006459512WH;24/07/2016;23;0,108;R;
ES0022000006459512WH;24/07/2016;24;0,101;R;
ES0022000006459512WH;25/07/2016;1;0,166;R;
ES0022000006459512WH;25/07/2016;2;0,154;R;
ES0022000006459512WH;25/07/2016;3;0,051;R;
ES0022000006459512WH;25/07/2016;4;0,027;R;
ES0022000006459512WH;25/07/2016;5;0,102;R;
ES0022000006459512WH;25/07/2016;6;0,095;R;
ES0022000006459512WH;25/07/2016;7;0,034;R;
ES0022000006459512WH;25/07/2016;8;0,06;R;
ES0022000006459512WH;25/07/2016;9;0,142;R;
ES0022000006459512WH;25/07/2016;10;0,127;R;
ES0022000006459512WH;25/07/2016;11;0,143;R;
ES0022000006459512WH;25/07/2016;12;0,094;R;
ES0022000006459512WH;25/07/2016;13;0,139;R;
ES0022000006459512WH;25/07/2016;14;0,156;R;
ES0022000006459512WH;25/07/2016;15;0,158;R;
ES0022000006459512WH;25/07/2016;16;0,204;R;
ES0022000006459512WH;25/07/2016;17;0,08;R;
ES0022000006459512WH;25/07/2016;18;0,124;R;
ES0022000006459512WH;25/07/2016;19;0,15;R;
ES0022000006459512WH;25/07/2016;20;0,145;R;
ES0022000006459512WH;25/07/2016;21;0,144;R;
ES0022000006459512WH;25/07/2016;22;0,134;R;
ES0022000006459512WH;25/07/2016;23;0,202;R;
ES0022000006459512WH;25/07/2016;24;0,182;R;
ES0022000006459512WH;26/07/2016;1;0,176;R;
ES0022000006459512WH;26/07/2016;2;0,131;R;
ES0022000006459512WH;26/07/2016;3;0,044;R;
ES0022000006459512WH;26/07/2016;4;0,051;R;
ES0022000006459512WH;26/07/2016;5;0,097;R;
ES0022000006459512WH;26/07/2016;6;1,129;R;
ES0022000006459512WH;26/07/2016;7;0,353;R;
ES0022000006459512WH;26/07/2016;8;0,134;R;
ES0022000006459512WH;26/07/2016;9;0,108;R;
ES0022000006459512WH;26/07/2016;10;0,098;R;
ES0022000006459512WH;26/07/2016;11;0,058;R;
ES0022000006459512WH;26/07/2016;12;0,032;R;
ES0022000006459512WH;26/07/2016;13;0,082;R;
ES0022000006459512WH;26/07/2016;14;0,1;R;
ES0022000006459512WH;26/07/2016;15;0,162;R;
ES0022000006459512WH;26/07/2016;16;0,105;R;
ES0022000006459512WH;26/07/2016;17;0,031;R;
ES0022000006459512WH;26/07/2016;18;0,046;R;
ES0022000006459512WH;26/07/2016;19;0,121;R;
ES0022000006459512WH;26/07/2016;20;0,16;R;
ES0022000006459512WH;26/07/2016;21;0,165;R;
ES0022000006459512WH;26/07/2016;22;0,27;R;
ES0022000006459512WH;26/07/2016;23;0,208;R;
ES0022000006459512WH;26/07/2016;24;0,141;R;
ES0022000006459512WH;27/07/2016;1;0,105;R;
ES0022000006459512WH;27/07/2016;2;0,107;R;
ES0022000006459512WH;27/07/2016;3;0,097;R;
ES0022000006459512WH;27/07/2016;4;0,096;R;
ES0022000006459512WH;27/07/2016;5;0,072;R;
ES0022000006459512WH;27/07/2016;6;1,03;R;
ES0022000006459512WH;27/07/2016;7;0,39;R;
